file_name,synth_prediction
0.vasp,0
1.vasp,1
2.vasp,1
3.vasp,1
4.vasp,0
5.vasp,1
6.vasp,1
7.vasp,1
8.vasp,1
9.vasp,0
10.vasp,0
11.vasp,0
12.vasp,0
13.vasp,0
14.vasp,0
15.vasp,0
16.vasp,0
17.vasp,0
18.vasp,0
19.vasp,1
20.vasp,0
21.vasp,0
22.vasp,0
23.vasp,0
24.vasp,0
25.vasp,0
26.vasp,0
27.vasp,0
28.vasp,0
29.vasp,0
30.vasp,0
31.vasp,0
32.vasp,1
33.vasp,0
34.vasp,0
35.vasp,0
36.vasp,0
37.vasp,0
38.vasp,1
39.vasp,0
40.vasp,0
41.vasp,1
42.vasp,1
43.vasp,0
44.vasp,0
45.vasp,0
46.vasp,1
47.vasp,0
48.vasp,0
49.vasp,0
50.vasp,0
51.vasp,0
52.vasp,0
53.vasp,0
54.vasp,0
55.vasp,0
56.vasp,0
57.vasp,0
58.vasp,0
59.vasp,0
60.vasp,0
61.vasp,0
62.vasp,0
63.vasp,1
64.vasp,0
65.vasp,0
66.vasp,0
67.vasp,0
68.vasp,0
69.vasp,0
70.vasp,0
71.vasp,1
72.vasp,0
73.vasp,0
74.vasp,0
75.vasp,0
76.vasp,0
77.vasp,0
78.vasp,0
79.vasp,0
80.vasp,1
81.vasp,0
82.vasp,1
83.vasp,0
84.vasp,1
85.vasp,0
86.vasp,0
87.vasp,0
88.vasp,0
89.vasp,0
90.vasp,0
91.vasp,0
92.vasp,0
93.vasp,1
94.vasp,0
95.vasp,0
96.vasp,0
97.vasp,1
98.vasp,0
99.vasp,0
100.vasp,0
101.vasp,0
102.vasp,1
103.vasp,0
104.vasp,0
105.vasp,1
106.vasp,0
107.vasp,0
108.vasp,0
109.vasp,0
110.vasp,0
111.vasp,0
112.vasp,0
113.vasp,0
114.vasp,0
115.vasp,0
116.vasp,0
117.vasp,0
118.vasp,1
119.vasp,0
120.vasp,0
121.vasp,0
122.vasp,0
123.vasp,0
124.vasp,0
125.vasp,0
126.vasp,0
127.vasp,0
128.vasp,0
129.vasp,0
130.vasp,0
131.vasp,0
132.vasp,1
133.vasp,0
134.vasp,1
135.vasp,0
136.vasp,0
137.vasp,1
138.vasp,0
139.vasp,0
140.vasp,0
141.vasp,1
142.vasp,0
143.vasp,1
144.vasp,0
145.vasp,1
146.vasp,0
147.vasp,1
148.vasp,1
149.vasp,0
150.vasp,1
151.vasp,0
152.vasp,0
153.vasp,0
154.vasp,0
155.vasp,0
156.vasp,0
157.vasp,0
158.vasp,0
159.vasp,1
160.vasp,0
161.vasp,1
162.vasp,0
163.vasp,0
164.vasp,0
165.vasp,0
166.vasp,0
167.vasp,0
168.vasp,0
169.vasp,0
170.vasp,0
171.vasp,0
172.vasp,0
173.vasp,0
174.vasp,0
175.vasp,0
176.vasp,0
177.vasp,0
178.vasp,0
179.vasp,0
180.vasp,0
181.vasp,0
182.vasp,0
183.vasp,0
184.vasp,0
185.vasp,0
186.vasp,0
187.vasp,0
188.vasp,0
189.vasp,0
190.vasp,0
191.vasp,1
192.vasp,0
193.vasp,1
194.vasp,0
195.vasp,0
196.vasp,0
197.vasp,1
198.vasp,0
199.vasp,0
200.vasp,0
201.vasp,0
202.vasp,0
203.vasp,0
204.vasp,0
205.vasp,0
206.vasp,0
207.vasp,0
208.vasp,0
209.vasp,0
210.vasp,0
211.vasp,0
212.vasp,0
213.vasp,0
214.vasp,0
215.vasp,0
216.vasp,1
217.vasp,0
218.vasp,0
219.vasp,0
220.vasp,0
221.vasp,0
222.vasp,0
223.vasp,0
224.vasp,0
225.vasp,0
226.vasp,0
227.vasp,1
228.vasp,0
229.vasp,0
230.vasp,0
231.vasp,1
232.vasp,0
233.vasp,0
234.vasp,0
235.vasp,0
236.vasp,0
237.vasp,0
238.vasp,1
239.vasp,0
240.vasp,1
241.vasp,0
242.vasp,0
243.vasp,0
244.vasp,0
245.vasp,0
246.vasp,0
247.vasp,1
248.vasp,0
249.vasp,0
250.vasp,0
251.vasp,0
252.vasp,0
253.vasp,0
254.vasp,0
255.vasp,0
256.vasp,0
257.vasp,1
258.vasp,1
259.vasp,0
260.vasp,0
261.vasp,0
262.vasp,0
263.vasp,0
264.vasp,0
265.vasp,0
266.vasp,1
267.vasp,0
268.vasp,0
269.vasp,0
270.vasp,0
271.vasp,0
272.vasp,0
273.vasp,1
274.vasp,0
275.vasp,0
276.vasp,0
277.vasp,0
278.vasp,0
279.vasp,0
280.vasp,0
281.vasp,0
282.vasp,1
283.vasp,1
284.vasp,0
285.vasp,0
286.vasp,0
287.vasp,1
288.vasp,0
289.vasp,0
290.vasp,1
291.vasp,0
292.vasp,0
293.vasp,0
294.vasp,0
295.vasp,0
296.vasp,0
297.vasp,0
298.vasp,1
299.vasp,0
300.vasp,0
301.vasp,1
302.vasp,0
303.vasp,0
304.vasp,1
305.vasp,1
306.vasp,0
307.vasp,0
308.vasp,0
309.vasp,0
310.vasp,0
311.vasp,1
312.vasp,0
313.vasp,1
314.vasp,0
315.vasp,0
316.vasp,0
317.vasp,0
318.vasp,0
319.vasp,0
320.vasp,0
321.vasp,1
322.vasp,0
323.vasp,1
324.vasp,0
325.vasp,0
326.vasp,0
327.vasp,0
328.vasp,0
329.vasp,0
330.vasp,0
331.vasp,0
332.vasp,1
333.vasp,0
334.vasp,0
335.vasp,0
336.vasp,0
337.vasp,0
338.vasp,0
339.vasp,0
340.vasp,0
341.vasp,0
342.vasp,0
343.vasp,1
344.vasp,0
345.vasp,0
346.vasp,0
347.vasp,0
348.vasp,1
349.vasp,0
350.vasp,0
351.vasp,0
352.vasp,0
353.vasp,0
354.vasp,0
355.vasp,0
356.vasp,0
357.vasp,0
358.vasp,1
359.vasp,0
360.vasp,0
361.vasp,0
362.vasp,0
363.vasp,0
364.vasp,0
365.vasp,1
366.vasp,0
367.vasp,0
368.vasp,0
369.vasp,0
