file_name,synth_prediction
POSCAR_mp-10008_copy1_opt.vasp,0
POSCAR_mp-1000_copy1_opt.vasp,1
POSCAR_mp-1000_copy2_opt.vasp,1
POSCAR_mp-1001011_copy1_opt.vasp,0
POSCAR_mp-1001023_copy1_opt.vasp,1
POSCAR_mp-1001023_copy2_opt.vasp,0
POSCAR_mp-1001117_copy1_opt.vasp,0
POSCAR_mp-1001117_copy2_opt.vasp,0
POSCAR_mp-10013_copy1_opt.vasp,1
POSCAR_mp-10013_copy2_opt.vasp,1
POSCAR_mp-10014_copy1_opt.vasp,0
POSCAR_mp-10014_copy2_opt.vasp,0
POSCAR_mp-1001581_copy1_opt.vasp,0
POSCAR_mp-1001581_copy2_opt.vasp,0
POSCAR_mp-10015_copy1_opt.vasp,0
POSCAR_mp-10015_copy2_opt.vasp,0
POSCAR_mp-1001600_copy1_opt.vasp,0
POSCAR_mp-1001602_copy1_opt.vasp,0
POSCAR_mp-1001605_copy1_opt.vasp,0
POSCAR_mp-1001785_copy1_opt.vasp,1
POSCAR_mp-1001785_copy2_opt.vasp,1
POSCAR_mp-1001788_copy1_opt.vasp,0
POSCAR_mp-1001788_copy2_opt.vasp,0
POSCAR_mp-1001789_copy1_opt.vasp,1
POSCAR_mp-1001789_copy2_opt.vasp,1
POSCAR_mp-1001824_copy1_opt.vasp,1
POSCAR_mp-1001824_copy2_opt.vasp,1
POSCAR_mp-1001825_copy1_opt.vasp,0
POSCAR_mp-1001825_copy2_opt.vasp,0
POSCAR_mp-1001826_copy1_opt.vasp,1
POSCAR_mp-1001826_copy2_opt.vasp,1
POSCAR_mp-1001827_copy1_opt.vasp,0
POSCAR_mp-1001827_copy2_opt.vasp,0
POSCAR_mp-1001828_copy1_opt.vasp,1
POSCAR_mp-1001828_copy2_opt.vasp,1
POSCAR_mp-1001831_copy1_opt.vasp,0
POSCAR_mp-1001831_copy2_opt.vasp,0
POSCAR_mp-1001833_copy1_opt.vasp,1
POSCAR_mp-1001833_copy2_opt.vasp,1
