file_name,synth_prediction
POSCAR-mp-19921.vasp,1
POSCAR-mp-2964.vasp,0
POSCAR-mp-22588.vasp,0
POSCAR-mp-20783.vasp,0
POSCAR-mp-16913.vasp,1
POSCAR-mp-33325.vasp,1
POSCAR-mp-1006372.vasp,0
POSCAR-mp-23487.vasp,1
POSCAR-mp-1188474.vasp,1
POSCAR-mp-19108.vasp,1
POSCAR-mp-555635.vasp,1
POSCAR-mp-6019.vasp,1
POSCAR-mp-28150.vasp,1
POSCAR-mp-1080507.vasp,1
POSCAR-mp-19324.vasp,1
POSCAR-mp-18771.vasp,1
POSCAR-mp-556619.vasp,0
POSCAR-mp-9639.vasp,0
POSCAR-mp-559053.vasp,1
POSCAR-mp-559903.vasp,1
POSCAR-mp-1201130.vasp,1
POSCAR-mp-555494.vasp,1
POSCAR-mp-19161.vasp,1
POSCAR-mp-1043513.vasp,1
POSCAR-mp-1084823.vasp,0
POSCAR-mp-654225.vasp,0
POSCAR-mp-19315.vasp,1
POSCAR-mp-556478.vasp,1
POSCAR-mp-29365.vasp,1
POSCAR-mp-12326.vasp,1
POSCAR-mp-555691.vasp,1
POSCAR-mp-9640.vasp,1
POSCAR-mp-22614.vasp,1
POSCAR-mp-1080028.vasp,1
POSCAR-mp-1019568.vasp,1
POSCAR-mp-567548.vasp,1
POSCAR-mp-1097997.vasp,1
POSCAR-mp-20431.vasp,1
POSCAR-mp-1078209.vasp,0
POSCAR-mp-22355.vasp,1
POSCAR-mp-18899.vasp,1
POSCAR-mp-880385.vasp,1
POSCAR-mp-561072.vasp,1
POSCAR-mp-554381.vasp,1
POSCAR-mp-19432.vasp,1
POSCAR-mp-22571.vasp,1
POSCAR-mp-20222.vasp,1
POSCAR-mp-510294.vasp,1
POSCAR-mp-1105823.vasp,1
POSCAR-mp-22748.vasp,1
POSCAR-mp-20156.vasp,1
POSCAR-mp-559818.vasp,1
POSCAR-mp-18307.vasp,1
POSCAR-mp-542018.vasp,1
POSCAR-mp-505225.vasp,1
POSCAR-mp-19336.vasp,1
POSCAR-mp-556489.vasp,1
POSCAR-mp-1104659.vasp,1
POSCAR-mp-1105143.vasp,1
POSCAR-mp-8709.vasp,0
POSCAR-mp-1203541.vasp,0
POSCAR-mp-18318.vasp,0
POSCAR-mp-18849.vasp,1
POSCAR-mp-5116.vasp,1
POSCAR-mp-19049.vasp,1
POSCAR-mp-23519.vasp,1
POSCAR-mp-14322.vasp,1
POSCAR-mp-603888.vasp,1
POSCAR-mp-27222.vasp,1
