file_name,synth_prediction
POSCAR-mp-755646.vasp,0
POSCAR-mp-1245329.vasp,1
POSCAR-mp-1008813.vasp,0
POSCAR-mp-1245294.vasp,1
POSCAR-mp-1974948.vasp,0
POSCAR-mp-1244907.vasp,1
POSCAR-mp-1245039.vasp,0
POSCAR-mp-510751.vasp,1
POSCAR-mp-603251.vasp,0
POSCAR-mp-1178395.vasp,0
POSCAR-mp-714885.vasp,0
POSCAR-mp-684904.vasp,0
POSCAR-mp-754765.vasp,0
POSCAR-mp-754333.vasp,1
POSCAR-mp-995183.vasp,1
POSCAR-mp-1245278.vasp,0
POSCAR-mp-1180047.vasp,0
POSCAR-mp-1008867.vasp,0
POSCAR-mp-1101405.vasp,0
POSCAR-mp-715262.vasp,0
POSCAR-mp-1245143.vasp,0
POSCAR-mp-499.vasp,1
POSCAR-mp-1180312.vasp,0
POSCAR-mp-1245305.vasp,0
POSCAR-mp-1180220.vasp,1
POSCAR-mp-776104.vasp,1
POSCAR-mp-1245045.vasp,0
POSCAR-mp-1008807.vasp,0
POSCAR-mp-2346983.vasp,1
POSCAR-mp-1245192.vasp,0
POSCAR-mp-974336.vasp,0
POSCAR-mp-1245133.vasp,1
POSCAR-mp-754983.vasp,1
POSCAR-mp-1245009.vasp,1
POSCAR-mp-754197.vasp,0
POSCAR-mp-755573.vasp,0
POSCAR-mp-1192189.vasp,0
POSCAR-mp-1245276.vasp,0
POSCAR-mp-1009819.vasp,0
POSCAR-mp-1206230.vasp,1
POSCAR-mp-1302566.vasp,1
POSCAR-mp-753682.vasp,1
POSCAR-mp-755413.vasp,1
POSCAR-mp-675742.vasp,1
POSCAR-mp-1245298.vasp,0
POSCAR-mp-1206710.vasp,0
POSCAR-mp-2831286.vasp,1
POSCAR-mp-1245304.vasp,1
POSCAR-mp-685151.vasp,1
POSCAR-mp-998915.vasp,0
POSCAR-mp-755189.vasp,0
POSCAR-mp-1245224.vasp,1
POSCAR-mp-1009020.vasp,0
POSCAR-mp-1245564.vasp,1
POSCAR-mp-1181437.vasp,1
POSCAR-mp-754282.vasp,0
POSCAR-mp-1178416.vasp,1
POSCAR-mp-556859.vasp,1
POSCAR-mp-33088.vasp,0
POSCAR-mp-1205877.vasp,0
POSCAR-mp-1119338.vasp,0
POSCAR-mp-772290.vasp,0
POSCAR-mp-1178247.vasp,0
POSCAR-mp-1245910.vasp,0
POSCAR-mp-1181903.vasp,0
POSCAR-mp-1064456.vasp,1
POSCAR-mp-1692.vasp,1
POSCAR-mp-2646987.vasp,0
POSCAR-mp-776016.vasp,0
POSCAR-mp-677074.vasp,0
POSCAR-mp-1064492.vasp,0
POSCAR-mp-756889.vasp,0
POSCAR-mp-1245079.vasp,1
POSCAR-mp-755264.vasp,1
POSCAR-mp-1245015.vasp,1
POSCAR-mp-754338.vasp,1
POSCAR-mp-1245200.vasp,1
POSCAR-mp-1180973.vasp,0
POSCAR-mp-1273331.vasp,1
POSCAR-mp-1283030.vasp,0
POSCAR-mp-754824.vasp,0
POSCAR-mp-1120722.vasp,1
POSCAR-mp-754171.vasp,0
POSCAR-mp-1244902.vasp,0
POSCAR-mp-1178531.vasp,1
POSCAR-mp-998929.vasp,1
POSCAR-mp-1245109.vasp,1
POSCAR-mp-1184809.vasp,0
POSCAR-mp-755300.vasp,0
POSCAR-mp-1245303.vasp,1
POSCAR-mp-545820.vasp,1
POSCAR-mp-1244963.vasp,1
POSCAR-mp-545619.vasp,0
POSCAR-mp-1009127.vasp,0
POSCAR-mp-1245232.vasp,0
POSCAR-mp-1190533.vasp,0
POSCAR-mp-1245311.vasp,0
POSCAR-mp-1245092.vasp,1
POSCAR-mp-1272524.vasp,1
POSCAR-mp-755144.vasp,0
POSCAR-mp-1009048.vasp,0
POSCAR-mp-614006.vasp,0
POSCAR-mp-1147768.vasp,0
POSCAR-mp-1065577.vasp,0
POSCAR-mp-1245324.vasp,1
POSCAR-mp-755959.vasp,1
POSCAR-mp-25229.vasp,1
POSCAR-mp-756436.vasp,0
POSCAR-mp-1244882.vasp,1
POSCAR-mp-1180334.vasp,0
POSCAR-mp-776890.vasp,1
POSCAR-mp-1238899.vasp,0
POSCAR-mp-1245209.vasp,1
POSCAR-mp-755738.vasp,1
POSCAR-mp-1273363.vasp,1
POSCAR-mp-510752.vasp,1
POSCAR-mp-754545.vasp,0
POSCAR-mp-1180136.vasp,0
POSCAR-mp-1065811.vasp,0
POSCAR-mp-1093993.vasp,1
POSCAR-mp-1191789.vasp,0
POSCAR-mp-776658.vasp,1
POSCAR-mp-1178393.vasp,1
POSCAR-mp-634965.vasp,0
POSCAR-mp-1245141.vasp,1
POSCAR-mp-776922.vasp,0
POSCAR-mp-1245076.vasp,1
POSCAR-mp-776911.vasp,0
POSCAR-mp-1244871.vasp,0
POSCAR-mp-753629.vasp,0
POSCAR-mp-755072.vasp,0
POSCAR-mp-1008866.vasp,0
POSCAR-mp-1223784.vasp,1
POSCAR-mp-32761.vasp,1
POSCAR-mp-755073.vasp,1
POSCAR-mp-990441.vasp,0
POSCAR-mp-1283577.vasp,1
POSCAR-mp-1287184.vasp,0
POSCAR-mp-672237.vasp,1
POSCAR-mp-673667.vasp,1
POSCAR-mp-1009014.vasp,0
POSCAR-mp-755480.vasp,0
POSCAR-mp-1178414.vasp,1
POSCAR-mp-753746.vasp,0
POSCAR-mp-1232659.vasp,0
POSCAR-mp-13119.vasp,0
POSCAR-mp-1244944.vasp,1
POSCAR-mp-1222502.vasp,1
POSCAR-mp-1244919.vasp,1
POSCAR-mp-755894.vasp,1
POSCAR-mp-1245157.vasp,0
POSCAR-mp-38238.vasp,0
POSCAR-mp-1238773.vasp,1
POSCAR-mp-1178239.vasp,0
POSCAR-mp-13161.vasp,0
POSCAR-mp-755459.vasp,0
POSCAR-mp-1245115.vasp,1
POSCAR-mp-19275.vasp,0
