file_name,synth_prediction
POSCAR-wbm-1-4374.vasp,1
POSCAR-wbm-1-4375.vasp,1
POSCAR-wbm-1-4376.vasp,1
POSCAR-wbm-1-4377.vasp,0
POSCAR-wbm-1-4378.vasp,1
POSCAR-wbm-1-4379.vasp,0
POSCAR-wbm-1-4380.vasp,0
POSCAR-wbm-1-4382.vasp,0
POSCAR-wbm-1-4383.vasp,0
POSCAR-wbm-1-4384.vasp,0
POSCAR-wbm-1-4385.vasp,1
POSCAR-wbm-1-4386.vasp,0
POSCAR-wbm-1-4387.vasp,1
POSCAR-wbm-1-4388.vasp,1
POSCAR-wbm-1-4389.vasp,1
POSCAR-wbm-1-4390.vasp,1
POSCAR-wbm-1-4391.vasp,1
POSCAR-wbm-1-4393.vasp,1
POSCAR-wbm-1-4394.vasp,1
POSCAR-wbm-1-4395.vasp,0
POSCAR-wbm-1-4396.vasp,1
POSCAR-wbm-1-4397.vasp,0
POSCAR-wbm-1-4398.vasp,0
POSCAR-wbm-1-4400.vasp,0
POSCAR-wbm-1-4401.vasp,1
POSCAR-wbm-1-4402.vasp,1
POSCAR-wbm-1-4404.vasp,1
POSCAR-wbm-1-4406.vasp,1
POSCAR-wbm-1-4407.vasp,1
POSCAR-wbm-1-4408.vasp,0
POSCAR-wbm-1-4409.vasp,1
POSCAR-wbm-1-4410.vasp,1
POSCAR-wbm-1-4412.vasp,0
POSCAR-wbm-1-4413.vasp,1
POSCAR-wbm-1-4414.vasp,1
POSCAR-wbm-1-4415.vasp,1
POSCAR-wbm-1-4416.vasp,0
POSCAR-wbm-1-4417.vasp,0
POSCAR-wbm-1-4418.vasp,1
POSCAR-wbm-1-4419.vasp,1
POSCAR-wbm-1-4420.vasp,1
POSCAR-wbm-1-4421.vasp,0
POSCAR-wbm-1-4422.vasp,0
POSCAR-wbm-1-4424.vasp,0
POSCAR-wbm-1-4425.vasp,0
POSCAR-wbm-1-4426.vasp,0
POSCAR-wbm-1-4427.vasp,1
POSCAR-wbm-1-4428.vasp,0
POSCAR-wbm-1-4429.vasp,1
